DATE: 2024-01-08

+----+---------------------------+--------------+-----------------+-------------+------------+-------------+---------+------------+-------------------+-----------------+-------------------------+-----------------------------+
|    | Vendor                    |   Valid V360 |   Blank/Invalid |   Has Video |   No Video |   Total Inv | Type    | Date       | % inv. w/ video   | % Inv w/ URLs   |   Difference Since Last | Change in % inv. w/ video   |
|----+---------------------------+--------------+-----------------+-------------+------------+-------------+---------+------------+-------------------+-----------------+-------------------------+-----------------------------|
|  0 | Accur8                    |         3182 |              13 |        2992 |        203 |        3195 | Lab     | 2024-01-08 | 93.65%            | 99.59%          |                     126 | -3.77%                      |
|  1 | Amipi Lab                 |          378 |               0 |         371 |          7 |         378 | Lab     | 2024-01-08 | 98.15%            | 100.0%          |                     -18 | -1.85%                      |
|  2 | Amipi Natural             |          344 |               0 |         344 |          0 |         344 | Natural | 2024-01-08 | 100.0%            | 100.0%          |                       2 | 0.0%                        |
|  3 | Aspeco                    |          270 |               0 |         116 |        154 |         270 | Natural | 2024-01-08 | 42.96%            | 100.0%          |                     -49 | -4.45%                      |
|  4 | Aspeco ANT                |           25 |              10 |          25 |         10 |          35 | Natural | 2024-01-08 | 71.43%            | 71.43%          |                      15 | -19.48%                     |
|  5 | BE Internal               |            0 |             210 |          78 |        132 |         210 | Natural | 2024-01-08 | 37.14%            | 0.0%            |                       0 | 0.17%                       |
|  6 | Bhakti                    |          616 |               0 |         615 |          1 |         616 | Lab     | 2024-01-08 | 99.84%            | 100.0%          |                     344 | 62.04%                      |
|  7 | Bhakti NY                 |         1306 |              31 |        1290 |         47 |        1337 | Lab     | 2024-01-08 | 96.48%            | 97.68%          |                      83 | 2.33%                       |
|  8 | Bluestar                  |         4844 |             144 |        4783 |        205 |        4988 | Natural | 2024-01-08 | 95.89%            | 97.11%          |                    -108 | -0.39%                      |
|  9 | Brahmani                  |        13763 |            9347 |        8963 |      14147 |       23110 | Lab     | 2024-01-08 | 38.78%            | 59.55%          |                     358 | -3.15%                      |
| 10 | C.Dinesh                  |            0 |               2 |           2 |          0 |           2 | Natural | 2024-01-08 | 100.0%            | 0.0%            |                       0 | 0.0%                        |
| 11 | Carbon Six                |          690 |               8 |         642 |         56 |         698 | Lab     | 2024-01-08 | 91.98%            | 98.85%          |                     -50 | -0.29%                      |
| 12 | Clear Cut Inc             |          739 |             123 |         755 |        107 |         862 | Lab     | 2024-01-08 | 87.59%            | 85.73%          |                      -9 | 0.97%                       |
| 13 | Dharm                     |          365 |              31 |         366 |         30 |         396 | Natural | 2024-01-08 | 92.42%            | 92.17%          |                     -53 | -0.9%                       |
| 14 | Dharm NY                  |          143 |               6 |         147 |          2 |         149 | Natural | 2024-01-08 | 98.66%            | 95.97%          |                       7 | 0.07%                       |
| 15 | Diagem Inc                |          900 |              10 |         881 |         29 |         910 | Lab     | 2024-01-08 | 96.81%            | 98.9%           |                      17 | -0.16%                      |
| 16 | Diamax                    |         4822 |             333 |        4414 |        741 |        5155 | Lab     | 2024-01-08 | 85.63%            | 93.54%          |                    -155 | 0.67%                       |
| 17 | Diamond Lab               |          112 |             119 |         201 |         30 |         231 | Lab     | 2024-01-08 | 87.01%            | 48.48%          |                      -1 | -0.06%                      |
| 18 | Eco Stones                |         1712 |              11 |        1682 |         41 |        1723 | Lab     | 2024-01-08 | 97.62%            | 99.36%          |                     -18 | 0.03%                       |
| 19 | Ecolight                  |         3550 |               2 |        3541 |         11 |        3552 | Lab     | 2024-01-08 | 99.69%            | 99.94%          |                     171 | 9.85%                       |
| 20 | Elements                  |         2191 |               1 |        2141 |         51 |        2192 | Lab     | 2024-01-08 | 97.67%            | 99.95%          |                      -9 | -0.24%                      |
| 21 | Elysian                   |          984 |              60 |         953 |         91 |        1044 | Lab     | 2024-01-08 | 91.28%            | 94.25%          |                     235 | -8.72%                      |
| 22 | Emby International        |          666 |              95 |         543 |        218 |         761 | Natural | 2024-01-08 | 71.35%            | 87.52%          |                     530 | 14.83%                      |
| 23 | Essential Lab Grown       |           37 |            1120 |         467 |        690 |        1157 | Lab     | 2024-01-08 | 40.36%            | 3.2%            |                     -24 | 1.55%                       |
| 24 | Ethereal                  |         8859 |             822 |        8094 |       1587 |        9681 | Lab     | 2024-01-08 | 83.61%            | 91.51%          |                      -1 | -5.19%                      |
| 25 | Fenix                     |         6363 |             764 |        6383 |        744 |        7127 | Lab     | 2024-01-08 | 89.56%            | 89.28%          |                     -66 | -3.45%                      |
| 26 | Finestar                  |         2143 |             140 |        2086 |        197 |        2283 | Natural | 2024-01-08 | 91.37%            | 93.87%          |                     -95 | 0.68%                       |
| 27 | Flawless Allure           |         1527 |             217 |        1629 |        115 |        1744 | Lab     | 2024-01-08 | 93.41%            | 87.56%          |                     -56 | -0.05%                      |
| 28 | Go Green                  |         2097 |             373 |        2217 |        253 |        2470 | Lab     | 2024-01-08 | 89.76%            | 84.9%           |                    -142 | 0.2%                        |
| 29 | Go Green HK               |         2168 |             103 |        1954 |        317 |        2271 | Lab     | 2024-01-08 | 86.04%            | 95.46%          |                     -34 | 1.7%                        |
| 30 | Green Rocks               |         2279 |            1024 |        2088 |       1215 |        3303 | Lab     | 2024-01-08 | 63.22%            | 69.0%           |                     -13 | 0.03%                       |
| 31 | Green Rocks International |         1077 |             328 |        1075 |        330 |        1405 | Lab     | 2024-01-08 | 76.51%            | 76.65%          |                      -3 | 0.06%                       |
| 32 | Grown Diamonds            |        46469 |           12355 |       41171 |      17653 |       58824 | Lab     | 2024-01-08 | 69.99%            | 79.0%           |                   -5609 | -2.34%                      |
| 33 | Grown Diamonds NY         |         4769 |             332 |        4539 |        562 |        5101 | Lab     | 2024-01-08 | 88.98%            | 93.49%          |                      73 | -0.13%                      |
| 34 | Hari Krishna              |         6880 |              92 |        6933 |         39 |        6972 | Natural | 2024-01-08 | 99.44%            | 98.68%          |                    -988 | -0.13%                      |
| 35 | IDJ                       |           65 |               1 |          66 |          0 |          66 | Natural | 2024-01-08 | 100.0%            | 98.48%          |                      -4 | 0.0%                        |
| 36 | IDJ LAB                   |          507 |             163 |         546 |        124 |         670 | Lab     | 2024-01-08 | 81.49%            | 75.67%          |                      46 | 0.58%                       |
| 37 | IGC                       |          832 |             465 |         837 |        460 |        1297 | Natural | 2024-01-08 | 64.53%            | 64.15%          |                     836 | -35.47%                     |
| 38 | IGC NY                    |          170 |              95 |         169 |         96 |         265 | Natural | 2024-01-08 | 63.77%            | 64.15%          |                       3 | 0.89%                       |
| 39 | Indian Diamonds           |         1615 |              66 |        1629 |         52 |        1681 | Lab     | 2024-01-08 | 96.91%            | 96.07%          |                       9 | -0.04%                      |
| 40 | JB                        |           38 |               1 |          30 |          9 |          39 | Natural | 2024-01-08 | 76.92%            | 97.44%          |                    -314 | -15.31%                     |
| 41 | K Girdharlal              |         1061 |              44 |         729 |        376 |        1105 | Natural | 2024-01-08 | 65.97%            | 96.02%          |                      55 | -9.59%                      |
| 42 | KBS Creations             |        15773 |             732 |       14647 |       1858 |       16505 | Lab     | 2024-01-08 | 88.74%            | 95.56%          |                   -1496 | -3.12%                      |
| 43 | KGS Jewels                |          289 |              27 |         308 |          8 |         316 | Natural | 2024-01-08 | 97.47%            | 91.46%          |                       9 | -0.24%                      |
| 44 | KP Sanghvi                |         2033 |               2 |        1858 |        177 |        2035 | Natural | 2024-01-08 | 91.3%             | 99.9%           |                    -218 | -0.6%                       |
| 45 | Kapu India                |         2655 |              11 |        2112 |        554 |        2666 | Natural | 2024-01-08 | 79.22%            | 99.59%          |                     -59 | 0.19%                       |
| 46 | Kiran                     |        33745 |            1727 |       32779 |       2693 |       35472 | Natural | 2024-01-08 | 92.41%            | 95.13%          |                     123 | -1.87%                      |
| 47 | Kiran NY                  |         2572 |             119 |        2576 |        115 |        2691 | Natural | 2024-01-08 | 95.73%            | 95.58%          |                      53 | 0.63%                       |
| 48 | Kyrah Star                |        29331 |             645 |       27371 |       2605 |       29976 | Lab     | 2024-01-08 | 91.31%            | 97.85%          |                    1333 | 0.11%                       |
| 49 | Lab Grown Solitaire       |          802 |               3 |         778 |         27 |         805 | Lab     | 2024-01-08 | 96.65%            | 99.63%          |                       3 | -0.47%                      |
| 50 | Labon                     |         1597 |               0 |        1584 |         13 |        1597 | Lab     | 2024-01-08 | 99.19%            | 100.0%          |                     -11 | -0.13%                      |
| 51 | Labtika                   |         4270 |               8 |        4265 |         13 |        4278 | Lab     | 2024-01-08 | 99.7%             | 99.81%          |                    -109 | -0.03%                      |
| 52 | Laxmi                     |         2704 |             402 |        2812 |        294 |        3106 | Natural | 2024-01-08 | 90.53%            | 87.06%          |                     -57 | 0.93%                       |
| 53 | Light Grown Diamond       |         9183 |               0 |        7147 |       2036 |        9183 | Lab     | 2024-01-08 | 77.83%            | 100.0%          |                     -67 | 2.96%                       |
| 54 | M.Suresh                  |          959 |              50 |         984 |         25 |        1009 | Natural | 2024-01-08 | 97.52%            | 95.04%          |                     -66 | -0.43%                      |
| 55 | Mahendra Brothers         |          968 |              66 |         968 |         66 |        1034 | Natural | 2024-01-08 | 93.62%            | 93.62%          |                     -20 | 3.88%                       |
| 56 | Mehta Diam ANT            |        11792 |             191 |       11621 |        362 |       11983 | Lab     | 2024-01-08 | 96.98%            | 98.41%          |                    -293 | -0.46%                      |
| 57 | Mehta Dubai               |        18749 |            3583 |       19961 |       2371 |       22332 | Lab     | 2024-01-08 | 89.38%            | 83.96%          |                     -57 | 0.21%                       |
| 58 | Meylor Global NY          |           35 |             248 |         269 |         14 |         283 | Lab     | 2024-01-08 | 95.05%            | 12.37%          |                     -23 | -0.37%                      |
| 59 | Mystery                   |            0 |               2 |           0 |          2 |           2 | Lab     | 2024-01-08 | 0.0%              | 0.0%            |                       0 | 0.0%                        |
| 60 | New Grown Diamond Intl    |            1 |               0 |           1 |          0 |           1 | Lab     | 2024-01-08 | 100.0%            | 100.0%          |                    -474 | 5.38%                       |
| 61 | Orion Snow                |        10927 |            3517 |       10945 |       3499 |       14444 | Lab     | 2024-01-08 | 75.78%            | 75.65%          |                   -1294 | 0.12%                       |
